<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
LKOH;60;20210901;110000;6302.0000000;6345.0000000;6294.0000000;6322.0000000;286179
LKOH;60;20210901;120000;6324.0000000;6332.5000000;6271.5000000;6277.5000000;137852
LKOH;60;20210901;130000;6274.5000000;6318.0000000;6264.0000000;6312.5000000;88589
LKOH;60;20210901;140000;6312.5000000;6314.5000000;6295.0000000;6308.0000000;61498
LKOH;60;20210901;150000;6306.5000000;6343.5000000;6300.0000000;6340.5000000;73252
LKOH;60;20210901;160000;6341.0000000;6351.0000000;6315.0000000;6336.0000000;107950
LKOH;60;20210901;170000;6338.0000000;6339.5000000;6298.5000000;6306.0000000;113229
LKOH;60;20210901;180000;6303.0000000;6330.0000000;6303.0000000;6313.0000000;55992
LKOH;60;20210901;190000;6314.5000000;6333.0000000;6307.0000000;6325.0000000;118795
LKOH;60;20210901;200000;6320.5000000;6332.0000000;6320.5000000;6332.0000000;19234
LKOH;60;20210901;210000;6331.5000000;6340.5000000;6328.5000000;6337.0000000;17543
LKOH;60;20210901;220000;6337.0000000;6337.0000000;6325.0000000;6329.0000000;7974
LKOH;60;20210901;230000;6326.5000000;6337.0000000;6324.5000000;6332.5000000;7621
LKOH;60;20210902;000000;6330.0000000;6334.5000000;6315.5000000;6334.0000000;10907
LKOH;60;20210902;110000;6330.0000000;6331.0000000;6278.5000000;6297.0000000;169321
LKOH;60;20210902;120000;6299.0000000;6315.5000000;6293.0000000;6307.0000000;93372
LKOH;60;20210902;130000;6307.0000000;6340.0000000;6303.5000000;6315.5000000;92627
LKOH;60;20210902;140000;6315.5000000;6359.5000000;6315.5000000;6359.0000000;100418
LKOH;60;20210902;150000;6359.0000000;6364.0000000;6335.5000000;6343.5000000;84593
LKOH;60;20210902;160000;6342.5000000;6354.5000000;6336.5000000;6350.0000000;68935
LKOH;60;20210902;170000;6350.0000000;6360.0000000;6344.0000000;6353.5000000;134356
LKOH;60;20210902;180000;6354.0000000;6405.0000000;6350.0000000;6399.0000000;206441
LKOH;60;20210902;190000;6401.0000000;6408.0000000;6393.0000000;6400.5000000;111687
LKOH;60;20210902;200000;6400.0000000;6400.5000000;6378.5000000;6386.0000000;21627
LKOH;60;20210902;210000;6388.0000000;6388.5000000;6375.0000000;6375.0000000;16188
LKOH;60;20210902;220000;6375.5000000;6376.5000000;6350.0000000;6357.5000000;19356
LKOH;60;20210902;230000;6358.0000000;6363.0000000;6350.0000000;6352.5000000;5624
LKOH;60;20210903;000000;6353.0000000;6358.5000000;6350.5000000;6350.5000000;5063
LKOH;60;20210903;110000;6363.5000000;6366.0000000;6315.0000000;6323.0000000;97675
LKOH;60;20210903;120000;6323.0000000;6345.0000000;6321.0000000;6330.0000000;37628
LKOH;60;20210903;130000;6330.0000000;6340.0000000;6319.0000000;6338.0000000;60298
LKOH;60;20210903;140000;6336.5000000;6353.5000000;6322.0000000;6327.0000000;35765
LKOH;60;20210903;150000;6325.0000000;6343.0000000;6322.0000000;6329.5000000;42027
LKOH;60;20210903;160000;6332.0000000;6335.5000000;6301.0000000;6317.5000000;89866
LKOH;60;20210903;170000;6317.5000000;6334.0000000;6312.5000000;6329.5000000;68768
LKOH;60;20210903;180000;6329.5000000;6349.0000000;6324.0000000;6331.0000000;89644
LKOH;60;20210903;190000;6331.0000000;6348.0000000;6319.0000000;6348.0000000;84013
LKOH;60;20210903;200000;6341.5000000;6345.0000000;6328.0000000;6339.0000000;20219
LKOH;60;20210903;210000;6338.5000000;6345.0000000;6337.0000000;6345.0000000;5421
LKOH;60;20210903;220000;6345.0000000;6352.0000000;6338.0000000;6343.5000000;9088
LKOH;60;20210903;230000;6343.5000000;6345.0000000;6323.5000000;6330.0000000;7479
LKOH;60;20210904;000000;6333.5000000;6337.0000000;6324.0000000;6330.0000000;5696
LKOH;60;20210906;110000;6327.0000000;6372.0000000;6326.0000000;6355.0000000;95892
LKOH;60;20210906;120000;6355.0000000;6362.5000000;6342.0000000;6358.5000000;46648
LKOH;60;20210906;130000;6358.5000000;6361.5000000;6348.5000000;6349.5000000;34406
LKOH;60;20210906;140000;6349.0000000;6357.5000000;6334.5000000;6337.5000000;71250
LKOH;60;20210906;150000;6337.5000000;6341.5000000;6315.0000000;6318.0000000;61539
LKOH;60;20210906;160000;6318.0000000;6334.0000000;6315.0000000;6331.0000000;25412
LKOH;60;20210906;170000;6332.0000000;6341.0000000;6330.0000000;6331.5000000;50119
LKOH;60;20210906;180000;6331.5000000;6337.0000000;6321.0000000;6326.0000000;39419
LKOH;60;20210906;190000;6326.0000000;6332.5000000;6314.5000000;6328.5000000;100570
LKOH;60;20210906;200000;6328.5000000;6328.5000000;6318.5000000;6327.0000000;13179
LKOH;60;20210906;210000;6324.0000000;6340.0000000;6323.5000000;6333.0000000;11726
LKOH;60;20210906;220000;6333.0000000;6337.5000000;6330.5000000;6332.0000000;3309
LKOH;60;20210906;230000;6331.5000000;6336.0000000;6326.0000000;6328.5000000;3621
LKOH;60;20210907;000000;6328.5000000;6331.0000000;6324.0000000;6325.0000000;3944
LKOH;60;20210907;110000;6335.0000000;6338.5000000;6299.5000000;6307.5000000;108064
