<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
USDCB	60	20210202	010000	75.5053000	75.5053000	75.5053000	75.5053000	0
USDCB	60	20210203	010000	75.9051000	75.9051000	75.9051000	75.9051000	0
USDCB	60	20210204	010000	76.0801000	76.0801000	76.0801000	76.0801000	0
USDCB	60	20210205	010000	75.7293000	75.7293000	75.7293000	75.7293000	0
USDCB	60	20210206	010000	75.1107000	75.1107000	75.1107000	75.1107000	0
USDCB	60	20210209	010000	74.2602000	74.2602000	74.2602000	74.2602000	0
USDCB	60	20210210	010000	74.1192000	74.1192000	74.1192000	74.1192000	0
USDCB	60	20210211	010000	73.8526000	73.8526000	73.8526000	73.8526000	0
USDCB	60	20210212	010000	73.7579000	73.7579000	73.7579000	73.7579000	0
USDCB	60	20210213	010000	73.9378000	73.9378000	73.9378000	73.9378000	0
USDCB	60	20210216	010000	73.3092000	73.3092000	73.3092000	73.3092000	0
USDCB	60	20210217	010000	73.2895000	73.2895000	73.2895000	73.2895000	0
USDCB	60	20210218	010000	73.7669000	73.7669000	73.7669000	73.7669000	0
USDCB	60	20210219	010000	73.7755000	73.7755000	73.7755000	73.7755000	0
USDCB	60	20210220	010000	73.9717000	73.9717000	73.9717000	73.9717000	0
USDCB	60	20210221	010000	73.9833000	73.9833000	73.9833000	73.9833000	0
USDCB	60	20210225	010000	73.7532000	73.7532000	73.7532000	73.7532000	0
USDCB	60	20210226	010000	73.4747000	73.4747000	73.4747000	73.4747000	0
USDCB	60	20210227	010000	74.4373000	74.4373000	74.4373000	74.4373000	0
USDCB	60	20210302	010000	74.0448000	74.0448000	74.0448000	74.0448000	0
USDCB	60	20210303	010000	74.5755000	74.5755000	74.5755000	74.5755000	0
USDCB	60	20210304	010000	73.5187000	73.5187000	73.5187000	73.5187000	0
USDCB	60	20210305	010000	73.7864000	73.7864000	73.7864000	73.7864000	0
USDCB	60	20210306	010000	74.4275000	74.4275000	74.4275000	74.4275000	0
USDCB	60	20210310	010000	74.2640000	74.2640000	74.2640000	74.2640000	0
USDCB	60	20210311	010000	74.0393000	74.0393000	74.0393000	74.0393000	0
