<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
PHOR,D,20210901,000000,4882.0000000,4887.0000000,4679.0000000,4755.0000000,170973
PHOR,D,20210902,000000,4756.0000000,4765.0000000,4642.0000000,4677.0000000,146352
PHOR,D,20210903,000000,4687.0000000,4753.0000000,4653.0000000,4724.0000000,159519
PHOR,D,20210906,000000,4741.0000000,4843.0000000,4733.0000000,4801.0000000,171143
PHOR,D,20210907,000000,4830.0000000,4929.0000000,4816.0000000,4902.0000000,120932
PHOR,D,20210908,000000,4910.0000000,4970.0000000,4758.0000000,4937.0000000,155524
PHOR,D,20210909,000000,4966.0000000,4966.0000000,4819.0000000,4826.0000000,100210
PHOR,D,20210910,000000,4832.0000000,4841.0000000,4767.0000000,4825.0000000,88459
PHOR,D,20210913,000000,4841.0000000,4910.0000000,4802.0000000,4907.0000000,75656
PHOR,D,20210914,000000,4925.0000000,5190.0000000,4911.0000000,5140.0000000,286778
PHOR,D,20210915,000000,5149.0000000,5174.0000000,4964.0000000,5051.0000000,204442
PHOR,D,20210916,000000,5012.0000000,5139.0000000,5012.0000000,5112.0000000,150825
PHOR,D,20210917,000000,5118.0000000,5118.0000000,4910.0000000,4937.0000000,153745
PHOR,D,20210920,000000,4949.0000000,4990.0000000,4830.0000000,4910.0000000,183866
PHOR,D,20210921,000000,4985.0000000,5069.0000000,4927.0000000,5015.0000000,154937
PHOR,D,20210922,000000,5069.0000000,5159.0000000,5024.0000000,5145.0000000,174376
PHOR,D,20210923,000000,4989.0000000,5043.0000000,4956.0000000,4997.0000000,163911
PHOR,D,20210924,000000,4990.0000000,5050.0000000,4951.0000000,5048.0000000,82707
PHOR,D,20210927,000000,5052.0000000,5075.0000000,4975.0000000,5019.0000000,71534
PHOR,D,20210928,000000,5019.0000000,5183.0000000,4982.0000000,5130.0000000,183139
PHOR,D,20210929,000000,5148.0000000,5240.0000000,5042.0000000,5059.0000000,121788
PHOR,D,20210930,000000,5071.0000000,5128.0000000,5013.0000000,5111.0000000,102879
PHOR,D,20211001,000000,5063.0000000,5126.0000000,5034.0000000,5115.0000000,61728
PHOR,D,20211004,000000,5104.0000000,5150.0000000,5015.0000000,5026.0000000,69213
PHOR,D,20211005,000000,5025.0000000,5090.0000000,5005.0000000,5057.0000000,100290
PHOR,D,20211006,000000,5048.0000000,5368.0000000,5043.0000000,5334.0000000,307262
PHOR,D,20211007,000000,5378.0000000,5588.0000000,5271.0000000,5549.0000000,242768
PHOR,D,20211008,000000,5571.0000000,5837.0000000,5541.0000000,5737.0000000,273472
PHOR,D,20211011,000000,5818.0000000,5867.0000000,5651.0000000,5701.0000000,206961
PHOR,D,20211012,000000,5703.0000000,5749.0000000,5562.0000000,5589.0000000,103910
PHOR,D,20211013,000000,5579.0000000,5625.0000000,5355.0000000,5542.0000000,231537
PHOR,D,20211014,000000,5576.0000000,5759.0000000,5523.0000000,5735.0000000,140699
PHOR,D,20211015,000000,5732.0000000,5946.0000000,5714.0000000,5932.0000000,187015
PHOR,D,20211018,000000,5933.0000000,6076.0000000,5658.0000000,6016.0000000,171405
PHOR,D,20211019,000000,6007.0000000,6130.0000000,5922.0000000,6019.0000000,170648
PHOR,D,20211020,000000,6067.0000000,6067.0000000,5835.0000000,5887.0000000,118403
PHOR,D,20211021,000000,5885.0000000,5990.0000000,5800.0000000,5871.0000000,101928
PHOR,D,20211022,000000,5821.0000000,5918.0000000,5686.0000000,5702.0000000,140291
PHOR,D,20211025,000000,5711.0000000,5860.0000000,5703.0000000,5853.0000000,98622
PHOR,D,20211026,000000,5874.0000000,5885.0000000,5765.0000000,5798.0000000,91464
PHOR,D,20211027,000000,5824.0000000,5825.0000000,5634.0000000,5702.0000000,90174
PHOR,D,20211028,000000,5701.0000000,5798.0000000,5552.0000000,5762.0000000,221503
PHOR,D,20211029,000000,5755.0000000,5796.0000000,5488.0000000,5602.0000000,346957
PHOR,D,20211101,000000,5600.0000000,5697.0000000,5474.0000000,5658.0000000,171214
PHOR,D,20211102,000000,5668.0000000,5739.0000000,5613.0000000,5662.0000000,116080
PHOR,D,20211103,000000,5678.0000000,5737.0000000,5425.0000000,5619.0000000,460850
PHOR,D,20211105,000000,5615.0000000,5857.0000000,5592.0000000,5820.0000000,274303
PHOR,D,20211108,000000,5854.0000000,5976.0000000,5702.0000000,5816.0000000,203917
PHOR,D,20211109,000000,5835.0000000,5967.0000000,5789.0000000,5915.0000000,174188
PHOR,D,20211110,000000,5948.0000000,6005.0000000,5740.0000000,5790.0000000,194333
PHOR,D,20211111,000000,5802.0000000,5847.0000000,5776.0000000,5810.0000000,75083
PHOR,D,20211112,000000,5800.0000000,5826.0000000,5566.0000000,5685.0000000,160442
PHOR,D,20211115,000000,5700.0000000,5876.0000000,5634.0000000,5797.0000000,149368
PHOR,D,20211116,000000,5799.0000000,5878.0000000,5760.0000000,5795.0000000,106078
PHOR,D,20211117,000000,5927.0000000,5927.0000000,5789.0000000,5821.0000000,117122
PHOR,D,20211118,000000,5830.0000000,5865.0000000,5780.0000000,5798.0000000,87588
PHOR,D,20211119,000000,5793.0000000,5840.0000000,5686.0000000,5746.0000000,101489
PHOR,D,20211122,000000,5746.0000000,5880.0000000,5488.0000000,5539.0000000,245251
PHOR,D,20211123,000000,5520.0000000,5760.0000000,5324.0000000,5732.0000000,218492
PHOR,D,20211124,000000,5749.0000000,5861.0000000,5630.0000000,5840.0000000,161071
PHOR,D,20211125,000000,5871.0000000,5927.0000000,5754.0000000,5820.0000000,136220
PHOR,D,20211126,000000,5741.0000000,5758.0000000,5580.0000000,5630.0000000,177908
PHOR,D,20211129,000000,5664.0000000,5786.0000000,5600.0000000,5647.0000000,109925
PHOR,D,20211130,000000,5570.0000000,5730.0000000,5534.0000000,5670.0000000,156850
PHOR,D,20211201,000000,5699.0000000,5751.0000000,5508.0000000,5513.0000000,270653
PHOR,D,20211202,000000,5520.0000000,5596.0000000,5450.0000000,5574.0000000,191593
PHOR,D,20211203,000000,5575.0000000,5600.0000000,5500.0000000,5537.0000000,110785
PHOR,D,20211206,000000,5582.0000000,5610.0000000,5401.0000000,5519.0000000,118011
PHOR,D,20211207,000000,5500.0000000,5641.0000000,5488.0000000,5611.0000000,136608
PHOR,D,20211208,000000,5648.0000000,5699.0000000,5506.0000000,5551.0000000,189139
PHOR,D,20211209,000000,5550.0000000,5650.0000000,5533.0000000,5640.0000000,81308
PHOR,D,20211210,000000,5643.0000000,5696.0000000,5553.0000000,5595.0000000,75241
PHOR,D,20211213,000000,5594.0000000,5698.0000000,5444.0000000,5506.0000000,224349
PHOR,D,20211214,000000,5505.0000000,5627.0000000,5000.0000000,5595.0000000,254665
PHOR,D,20211215,000000,5586.0000000,5783.0000000,5531.0000000,5760.0000000,236102
PHOR,D,20211216,000000,5776.0000000,5942.0000000,5696.0000000,5895.0000000,368085
PHOR,D,20211217,000000,5680.0000000,5740.0000000,5600.0000000,5682.0000000,605179
PHOR,D,20211220,000000,5678.0000000,5678.0000000,5361.0000000,5580.0000000,168224
PHOR,D,20211221,000000,5579.0000000,5612.0000000,5434.0000000,5527.0000000,201212
PHOR,D,20211222,000000,5557.0000000,5590.0000000,5503.0000000,5516.0000000,116354
PHOR,D,20211223,000000,5567.0000000,5590.0000000,5503.0000000,5519.0000000,87952
PHOR,D,20211224,000000,5530.0000000,5640.0000000,5471.0000000,5619.0000000,88370
PHOR,D,20211227,000000,5620.0000000,5779.0000000,5596.0000000,5767.0000000,92074
PHOR,D,20211228,000000,5764.0000000,5864.0000000,5650.0000000,5798.0000000,138833
PHOR,D,20211229,000000,5843.0000000,5889.0000000,5769.0000000,5866.0000000,135654
PHOR,D,20211230,000000,5872.0000000,5896.0000000,5792.0000000,5863.0000000,91747
PHOR,D,20220103,000000,5863.0000000,5945.0000000,5823.0000000,5936.0000000,59853
PHOR,D,20220104,000000,5896.0000000,5950.0000000,5856.0000000,5910.0000000,59964
PHOR,D,20220105,000000,5909.0000000,5932.0000000,5621.0000000,5697.0000000,107921
PHOR,D,20220106,000000,5646.0000000,5864.0000000,5622.0000000,5735.0000000,123030
PHOR,D,20220110,000000,5715.0000000,5807.0000000,5695.0000000,5761.0000000,81332
PHOR,D,20220111,000000,5774.0000000,5873.0000000,5742.0000000,5811.0000000,72639
PHOR,D,20220112,000000,5837.0000000,5897.0000000,5777.0000000,5824.0000000,93305
PHOR,D,20220113,000000,5824.0000000,5853.0000000,5714.0000000,5797.0000000,121262
PHOR,D,20220114,000000,5780.0000000,5846.0000000,5571.0000000,5771.0000000,253300
PHOR,D,20220117,000000,5772.0000000,5884.0000000,5682.0000000,5825.0000000,215617
PHOR,D,20220118,000000,5824.0000000,5857.0000000,5600.0000000,5679.0000000,286893
PHOR,D,20220119,000000,5629.0000000,5820.0000000,5562.0000000,5725.0000000,277278
PHOR,D,20220120,000000,5725.0000000,5780.0000000,5621.0000000,5652.0000000,165533
PHOR,D,20220121,000000,5644.0000000,5674.0000000,5375.0000000,5399.0000000,298261
PHOR,D,20220124,000000,5424.0000000,5439.0000000,5050.0000000,5330.0000000,408241
PHOR,D,20220125,000000,5372.0000000,5430.0000000,5218.0000000,5415.0000000,177704
PHOR,D,20220126,000000,5410.0000000,5624.0000000,5281.0000000,5357.0000000,203109
PHOR,D,20220127,000000,5360.0000000,5566.0000000,5315.0000000,5445.0000000,188992
PHOR,D,20220128,000000,5490.0000000,5591.0000000,5439.0000000,5480.0000000,124039
PHOR,D,20220131,000000,5480.0000000,5605.0000000,5412.0000000,5481.0000000,161514
PHOR,D,20220201,000000,5484.0000000,5545.0000000,5457.0000000,5512.0000000,75195
PHOR,D,20220202,000000,5524.0000000,5552.0000000,5365.0000000,5417.0000000,134718
PHOR,D,20220203,000000,5416.0000000,5422.0000000,5240.0000000,5331.0000000,131917
PHOR,D,20220204,000000,5323.0000000,5402.0000000,5227.0000000,5268.0000000,105160
PHOR,D,20220207,000000,5270.0000000,5464.0000000,5219.0000000,5445.0000000,112096
PHOR,D,20220208,000000,5445.0000000,5648.0000000,5438.0000000,5567.0000000,198241
PHOR,D,20220209,000000,5602.0000000,5885.0000000,5584.0000000,5836.0000000,244548
PHOR,D,20220210,000000,5860.0000000,6014.0000000,5820.0000000,5859.0000000,297709
PHOR,D,20220211,000000,5859.0000000,5968.0000000,5691.0000000,5747.0000000,253483
PHOR,D,20220214,000000,5717.0000000,5980.0000000,5650.0000000,5950.0000000,259326
PHOR,D,20220215,000000,5950.0000000,6120.0000000,5906.0000000,6114.0000000,189815
PHOR,D,20220216,000000,6115.0000000,6249.0000000,6057.0000000,6170.0000000,226143
PHOR,D,20220217,000000,6150.0000000,6210.0000000,5880.0000000,5953.0000000,211887
PHOR,D,20220218,000000,6031.0000000,6068.0000000,5782.0000000,5850.0000000,265415
