<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>
LKOH	60	20210104	110000	5232.0000000	5252.0000000	5206.0000000	5244.0000000	184576
LKOH	60	20210104	120000	5244.0000000	5273.5000000	5227.5000000	5268.0000000	117414
LKOH	60	20210104	130000	5269.0000000	5274.5000000	5248.0000000	5255.5000000	54578
LKOH	60	20210104	140000	5256.0000000	5262.0000000	5237.0000000	5240.0000000	39899
LKOH	60	20210104	150000	5240.0000000	5245.0000000	5225.5000000	5238.0000000	40555
LKOH	60	20210104	160000	5239.0000000	5240.5000000	5216.0000000	5228.0000000	39090
LKOH	60	20210104	170000	5226.5000000	5255.5000000	5225.0000000	5245.5000000	61067
LKOH	60	20210104	180000	5246.5000000	5249.5000000	5230.0000000	5243.5000000	59051
LKOH	60	20210104	190000	5246.0000000	5248.0000000	5227.5000000	5243.5000000	72537
LKOH	60	20210104	200000	5236.0000000	5236.0000000	5200.5000000	5209.0000000	39297
LKOH	60	20210104	210000	5208.0000000	5215.0000000	5186.5000000	5204.5000000	26288
LKOH	60	20210104	220000	5203.5000000	5224.5000000	5203.0000000	5219.0000000	13147
LKOH	60	20210104	230000	5220.5000000	5222.0000000	5210.5000000	5217.0000000	6076
LKOH	60	20210105	000000	5216.5000000	5218.5000000	5206.5000000	5212.5000000	19451
LKOH	60	20210105	110000	5210.0000000	5232.0000000	5184.0000000	5193.5000000	95872
LKOH	60	20210105	120000	5196.5000000	5247.0000000	5180.0000000	5245.5000000	113200
LKOH	60	20210105	130000	5244.5000000	5263.5000000	5236.5000000	5252.0000000	74731
LKOH	60	20210105	140000	5254.0000000	5260.0000000	5239.0000000	5246.5000000	42832
LKOH	60	20210105	150000	5246.5000000	5252.0000000	5230.0000000	5233.5000000	58936
LKOH	60	20210105	160000	5234.0000000	5250.5000000	5229.5000000	5249.5000000	50523
LKOH	60	20210105	170000	5250.0000000	5253.0000000	5241.0000000	5245.0000000	46651
